"STATISTIC","Year","Sex","UNIT","VALUE"
"Births by Occurrence","1910","Both sexes","Number","71744"
"Births by Occurrence","1910","Male","Number","36737"
"Births by Occurrence","1910","Female","Number","35007"
"Births by Occurrence","1911","Both sexes","Number","71351"
"Births by Occurrence","1911","Male","Number","36907"
"Births by Occurrence","1911","Female","Number","34444"
"Births by Occurrence","1912","Both sexes","Number","70734"
"Births by Occurrence","1912","Male","Number","36210"
"Births by Occurrence","1912","Female","Number","34524"
"Births by Occurrence","1913","Both sexes","Number","70214"
"Births by Occurrence","1913","Male","Number","35967"
"Births by Occurrence","1913","Female","Number","34247"
"Births by Occurrence","1914","Both sexes","Number","69102"
"Births by Occurrence","1914","Male","Number","35446"
"Births by Occurrence","1914","Female","Number","33656"
"Births by Occurrence","1915","Both sexes","Number","67501"
"Births by Occurrence","1915","Male","Number","34847"
"Births by Occurrence","1915","Female","Number","32654"
"Births by Occurrence","1916","Both sexes","Number","64814"
"Births by Occurrence","1916","Male","Number","33524"
"Births by Occurrence","1916","Female","Number","31290"
"Births by Occurrence","1917","Both sexes","Number","61421"
"Births by Occurrence","1917","Male","Number","31471"
"Births by Occurrence","1917","Female","Number","29950"
"Births by Occurrence","1918","Both sexes","Number","61092"
"Births by Occurrence","1918","Male","Number","31150"
"Births by Occurrence","1918","Female","Number","29942"
"Births by Occurrence","1919","Both sexes","Number","61829"
"Births by Occurrence","1919","Male","Number","31947"
"Births by Occurrence","1919","Female","Number","29882"
"Births by Occurrence","1920","Both sexes","Number","67015"
"Births by Occurrence","1920","Male","Number","34590"
"Births by Occurrence","1920","Female","Number","32425"
"Births by Occurrence","1921","Both sexes","Number","61010"
"Births by Occurrence","1921","Male","Number","31333"
"Births by Occurrence","1921","Female","Number","29677"
"Births by Occurrence","1922","Both sexes","Number","58849"
"Births by Occurrence","1922","Male","Number","30345"
"Births by Occurrence","1922","Female","Number","28504"
"Births by Occurrence","1923","Both sexes","Number","61690"
"Births by Occurrence","1923","Male","Number","31808"
"Births by Occurrence","1923","Female","Number","29882"
"Births by Occurrence","1924","Both sexes","Number","63402"
"Births by Occurrence","1924","Male","Number","32713"
"Births by Occurrence","1924","Female","Number","30689"
"Births by Occurrence","1925","Both sexes","Number","62069"
"Births by Occurrence","1925","Male","Number","31818"
"Births by Occurrence","1925","Female","Number","30251"
"Births by Occurrence","1926","Both sexes","Number","61176"
"Births by Occurrence","1926","Male","Number","31382"
"Births by Occurrence","1926","Female","Number","29794"
"Births by Occurrence","1927","Both sexes","Number","60054"
"Births by Occurrence","1927","Male","Number","30606"
"Births by Occurrence","1927","Female","Number","29448"
"Births by Occurrence","1928","Both sexes","Number","59176"
"Births by Occurrence","1928","Male","Number","30327"
"Births by Occurrence","1928","Female","Number","28849"
"Births by Occurrence","1929","Both sexes","Number","58280"
"Births by Occurrence","1929","Male","Number","29583"
"Births by Occurrence","1929","Female","Number","28697"
"Births by Occurrence","1930","Both sexes","Number","58353"
"Births by Occurrence","1930","Male","Number","29913"
"Births by Occurrence","1930","Female","Number","28440"
"Births by Occurrence","1931","Both sexes","Number","57086"
"Births by Occurrence","1931","Male","Number","29409"
"Births by Occurrence","1931","Female","Number","27677"
"Births by Occurrence","1932","Both sexes","Number","56240"
"Births by Occurrence","1932","Male","Number","28842"
"Births by Occurrence","1932","Female","Number","27398"
"Births by Occurrence","1933","Both sexes","Number","57364"
"Births by Occurrence","1933","Male","Number","29381"
"Births by Occurrence","1933","Female","Number","27983"
"Births by Occurrence","1934","Both sexes","Number","57897"
"Births by Occurrence","1934","Male","Number","29825"
"Births by Occurrence","1934","Female","Number","28072"
"Births by Occurrence","1935","Both sexes","Number","58266"
"Births by Occurrence","1935","Male","Number","29898"
"Births by Occurrence","1935","Female","Number","28368"
"Births by Occurrence","1936","Both sexes","Number","58115"
"Births by Occurrence","1936","Male","Number","29602"
"Births by Occurrence","1936","Female","Number","28513"
"Births by Occurrence","1937","Both sexes","Number","56488"
"Births by Occurrence","1937","Male","Number","28893"
"Births by Occurrence","1937","Female","Number","27595"
"Births by Occurrence","1938","Both sexes","Number","56925"
"Births by Occurrence","1938","Male","Number","29108"
"Births by Occurrence","1938","Female","Number","27817"
"Births by Occurrence","1939","Both sexes","Number","56070"
"Births by Occurrence","1939","Male","Number","28804"
"Births by Occurrence","1939","Female","Number","27266"
"Births by Occurrence","1940","Both sexes","Number","56594"
"Births by Occurrence","1940","Male","Number","29029"
"Births by Occurrence","1940","Female","Number","27565"
"Births by Occurrence","1941","Both sexes","Number","56780"
"Births by Occurrence","1941","Male","Number","29198"
"Births by Occurrence","1941","Female","Number","27582"
"Births by Occurrence","1942","Both sexes","Number","66117"
